C1	27.05	4.06	0.00	0.1 uF	C0402
D3	165.10	129.54	180.00	LED	EIA-STD
D4	233.68	144.78	0.00	RED_LED	EIA-STD
FUD1	4.45	9.53	0.00	FIDUCIAL	FIDUCIAL_40MIL
FUD2	299.09	9.53	0.00	FIDUCIAL	FIDUCIAL_40MIL
FUD5	299.72	142.24	0.00	FIDUCIAL	FIDUCIAL_40MIL
R10	12.70	66.04	180.00	1k	R0603
R11	43.18	64.77	180.00	1k	R0603
R12	12.70	43.18	180.00	1k	R0603
R13	44.45	41.91	180.00	1k	R0603
R14	245.11	132.08	0.00	1k	R0603
R15	228.60	99.06	0.00	1k	R0603
R16	252.73	99.06	0.00	1k	R0603
R17	279.40	99.06	0.00	1k	R0603
R18	299.47	95.89	0.00	1k	R0603
R19	175.26	129.54	0.00	1k	R0603
R20	12.70	6.35	180.00	1k	R0603
R21	35.56	6.35	180.00	1k	R0603
R22	58.42	6.35	180.00	1k	R0603
R24	18.80	10.41	0.00	1M	R0603
R4	11.43	133.35	180.00	1k	R0603
R5	43.18	130.81	180.00	1k	R0603
R6	12.70	111.76	180.00	1k	R0603
R7	43.18	110.49	180.00	1k	R0603
R8	12.70	91.44	180.00	1k	R0603
R9	43.18	90.17	180.00	1k	R0603
